x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,value,Timestamp
3,3,1,1,0,1,1,1,3,3,2,3,3,2,3,1,2,3,1,2,0,0,3,1,0.09064817089605914,3447
3,2,2,1,2,1,2,0,2,3,2,0,3,2,1,3,1,2,2,2,2,0,0,2,-0.3276081896748093,3464
3,0,1,1,2,0,1,0,3,1,2,1,3,0,1,1,2,0,0,1,1,1,0,0,-0.4579711102459002,3479
3,2,0,1,0,3,0,0,3,0,1,1,2,0,1,3,0,3,3,3,3,0,1,2,-0.3276081896748093,3494
1,1,0,3,3,2,2,0,0,3,3,0,2,0,2,1,0,1,3,0,0,0,0,1,-0.3276081896748093,3509
3,3,1,0,2,2,1,2,0,1,0,0,1,1,2,0,1,2,1,0,1,2,2,0,-0.3276081896748093,3525
3,3,2,1,0,3,1,1,1,1,0,2,3,3,1,3,0,3,3,0,1,0,1,2,-0.1218099189210623,3541
2,2,2,2,3,0,3,0,2,3,2,2,2,3,2,2,1,0,3,3,1,2,1,0,-0.3276081896748093,3557
0,0,2,3,2,1,0,0,1,3,3,2,1,2,3,3,2,0,2,2,2,3,3,1,-0.3276081896748093,3573
3,2,0,3,1,2,1,1,3,2,2,1,2,1,0,3,1,3,3,2,0,0,1,3,-0.37680583554617686,3590
1,0,2,2,3,0,3,0,1,3,2,0,3,2,0,3,3,2,1,0,2,2,0,3,-0.4579711102459002,3607
1,1,1,2,1,1,3,1,2,1,2,1,2,2,3,2,3,2,1,3,3,1,2,2,-0.37680583554617686,3626
2,2,1,1,1,0,2,1,1,2,0,2,0,2,1,0,3,3,0,0,3,0,3,0,-0.22137914476624865,3643
2,0,0,0,1,0,1,3,0,2,2,1,1,0,1,1,0,2,3,2,1,3,3,1,-0.2145763359663444,3659
0,2,2,0,0,1,3,1,1,3,0,3,2,1,2,3,2,0,2,1,3,2,3,2,-0.3276081896748093,3675
3,0,3,2,0,0,3,3,0,0,1,2,1,0,2,0,1,0,1,3,1,3,3,1,-0.4579711102459002,3690
1,3,3,1,0,2,1,2,0,2,2,3,2,0,3,3,2,2,3,0,3,3,1,3,-0.3276081896748093,3706
1,0,2,3,3,0,1,3,0,3,1,2,3,0,0,3,1,3,3,1,3,0,1,3,-0.16630858464128406,3722
2,3,3,3,0,1,1,2,2,2,3,0,0,2,2,3,1,0,1,0,2,2,2,1,-0.3276081896748093,3738
0,3,1,0,3,3,3,1,1,2,2,3,1,2,3,2,0,1,0,3,2,2,2,2,-0.3034743140122791,3754
0,1,3,2,0,0,1,1,1,3,0,0,2,3,2,2,1,0,0,2,3,3,3,0,-0.4842088145571889,3773
0,3,1,3,2,3,3,2,2,1,1,0,0,1,0,3,1,3,3,3,1,1,0,2,-0.3276081896748093,3788
3,3,2,1,2,3,1,0,2,1,1,3,3,1,0,0,1,1,3,3,1,3,2,2,-0.22137914476624854,3805
1,2,0,2,1,0,2,0,1,3,1,2,3,2,0,0,0,0,0,1,2,1,1,2,-0.3276081896748093,3820
2,3,1,1,2,3,1,2,1,3,3,2,1,0,1,2,1,0,1,2,1,0,0,3,-0.37680583554617686,3835
0,0,2,3,0,2,2,1,2,2,0,0,0,1,0,3,1,1,1,3,3,2,1,2,-0.19724526910371842,3851
3,2,0,1,2,1,1,1,2,3,0,0,3,2,1,3,0,1,1,2,3,2,0,3,-0.3276081896748093,3867
0,1,3,3,3,1,2,0,2,1,1,1,3,0,3,1,1,3,1,1,3,1,0,3,-0.3276081896748093,3883
0,1,1,0,2,3,0,1,1,0,2,1,3,2,0,3,3,3,3,0,3,3,3,3,-0.11514285706779837,3900
0,1,1,2,2,0,3,3,2,3,0,2,1,2,3,1,0,0,3,3,3,3,0,3,-0.027174773568170885,3916
3,0,3,1,2,3,2,3,3,2,3,0,2,3,2,0,0,3,2,0,2,0,2,3,-0.22921289793207422,3932
3,1,3,0,3,0,1,2,3,2,0,1,0,2,3,0,3,1,3,3,1,0,3,0,-0.3276081896748093,3950
